feature,count,mean,std,min,25%,50%,75%,max
mfcc_d1_10_mean,720.0,0.0005411213030267284,0.00735572271304464,-0.028051496,-0.003181140825,6.03086515e-05,0.00412876775,0.040167257
mfcc_d1_11_mean,720.0,0.00022105358128919454,0.006758738713303015,-0.024779128,-0.003077719875,-6.83110315e-10,0.003645811475,0.025588553
mfcc_d1_12_mean,720.0,-0.00013223599663651797,0.00607078247788458,-0.026494706,-0.00272427565,1.70129195e-09,0.00300161865,0.022741932
mfcc_d1_13_mean,720.0,-0.00010729708270850396,0.0056993803577827145,-0.02647207,-0.002896482925,2.61423885e-10,0.0025882273,0.020654414
mfcc_d1_14_mean,720.0,-0.00021282277920849597,0.005384907710193995,-0.017162362,-0.0031894287,1.186615155e-09,0.00232582635,0.021223053
mfcc_d1_15_mean,720.0,-0.0001959913731275035,0.005346470181601967,-0.025324026,-0.003142454525,-2.76734865e-06,0.0025568315500000003,0.02103826
mfcc_d1_16_mean,720.0,-0.00012429879915208788,0.0049408543017158135,-0.019709112,-0.0022866302,2.96119e-05,0.002230103325,0.02095484
mfcc_d1_17_mean,720.0,3.168872399500155e-05,0.004780494815250055,-0.017273815,-0.002322115425,-7.3256457e-10,0.00218293615,0.017071217
mfcc_d1_18_mean,720.0,-0.0002523918214203477,0.004677730936512328,-0.021804936,-0.0024009611,-7.067067550000001e-10,0.0020001020999999997,0.015380739
mfcc_d1_19_mean,720.0,-0.00023229245428537797,0.004618935663881224,-0.025383383,-0.002474816375,1.09266075e-10,0.00204968895,0.0177086
mfcc_d1_20_mean,720.0,-0.00017694615687231002,0.0041407118209606025,-0.02040172,-0.00216378865,-5.17515705e-06,0.0018876539250000002,0.018149955
mfcc_d1_1_std,720.0,19.87434445,2.8262108803540884,13.183138,17.778183,19.668077500000003,22.16745375,26.634352
mfcc_d1_2_std,720.0,10.525509249027778,0.9660309600165674,7.3301473,9.854712875,10.581804,11.22955,12.960053
mfcc_d1_3_std,720.0,6.3183452905555555,0.9775771545375264,3.915971,5.692966725,6.2820205,7.003625550000001,9.115789
mfcc_d1_4_std,720.0,5.564058478194444,0.7901675658721878,3.8299134,4.9809320249999995,5.43771025,6.164986375,8.160104
mfcc_d1_5_std,720.0,3.721100179444444,0.5275687844609948,2.3110359,3.420649375,3.7289424999999996,4.0396284,6.0711417
mfcc_d1_6_std,720.0,3.016943228472222,0.44475940953939036,1.927982,2.68616705,2.9994327,3.2444588750000003,4.667976
mfcc_d1_7_std,720.0,2.7978922659722225,0.43651954361039214,1.8808615,2.4546134000000004,2.78362425,3.127156825,4.172525
mfcc_d1_8_std,720.0,2.6961692172222222,0.4295136982067665,1.8792655,2.373942125,2.6478785,2.989772825,4.6111197
mfcc_d1_9_std,720.0,2.4262033794444444,0.358073083176928,1.4084759,2.177597275,2.4107481,2.65243185,3.5007577
mfcc_d1_10_std,720.0,2.251334716944444,0.3933193103309297,1.5661676,1.9390361999999999,2.12957705,2.528595325,3.3421435
mfcc_d1_11_std,720.0,1.9554850051388888,0.3053349328163226,1.3428432,1.74726695,1.9202922,2.1122871500000002,3.0758061
mfcc_d1_12_std,720.0,1.8495895820833335,0.26156403052257243,1.2310971,1.677976175,1.86774665,2.0438962,2.5523698
mfcc_d1_13_std,720.0,1.6745715670833334,0.245197246331493,1.1965758,1.5301161749999999,1.64751515,1.74625095,2.955284
